y_true,y_pred,prob_positive,prob_negative
1,0,0.19744976816074206,0.8025502318392579
0,1,0.7860536959775788,0.2139463040224212
0,0,0.20914051841746253,0.7908594815825375
0,0,0.44803399204154576,0.5519660079584543
1,1,0.7860536959775788,0.2139463040224212
0,0,0.2725333333333332,0.7274666666666668
0,0,0.17632850241545886,0.8236714975845412
1,1,0.7860536959775788,0.2139463040224212
0,0,0.19250847640062435,0.8074915235993756
0,0,0.1805781327302282,0.8194218672697717
1,0,0.3331160365058671,0.6668839634941329
0,0,0.24981667074065025,0.7501833292593497
0,0,0.16202933016250506,0.8379706698374949
0,0,0.19984356667970288,0.8001564333202971
0,0,0.22130792550887848,0.7786920744911215
0,1,0.7860536959775788,0.2139463040224212
0,1,0.7860536959775788,0.2139463040224212
0,1,0.7860536959775788,0.2139463040224212
1,1,0.7860536959775788,0.2139463040224212
0,0,0.18735105407882668,0.8126489459211733
0,1,0.7860536959775788,0.2139463040224212
1,1,0.7860536959775788,0.2139463040224212
1,0,0.19744976816074206,0.8025502318392579
0,0,0.22130792550887848,0.7786920744911215
1,1,0.7860536959775788,0.2139463040224212
1,0,0.4465667915106116,0.5534332084893884
0,0,0.1805781327302282,0.8194218672697717
0,0,0.2725333333333332,0.7274666666666668
0,0,0.19744976816074206,0.8025502318392579
1,1,0.7860536959775788,0.2139463040224212
1,0,0.19250847640062435,0.8074915235993756
0,0,0.16202933016250506,0.8379706698374949
1,0,0.18735105407882668,0.8126489459211733
0,1,0.7860536959775788,0.2139463040224212
0,1,0.7860536959775788,0.2139463040224212
1,1,0.7860536959775788,0.2139463040224212
0,0,0.16202933016250506,0.8379706698374949
0,1,0.7860536959775788,0.2139463040224212
1,0,0.41355589276681826,0.5864441072331817
0,0,0.30591475095785436,0.6940852490421456
1,1,0.7860536959775788,0.2139463040224212
0,0,0.24981667074065025,0.7501833292593497
1,0,0.19744976816074206,0.8025502318392579
0,0,0.44803399204154576,0.5519660079584543
0,0,0.16202933016250506,0.8379706698374949
0,0,0.19984356667970288,0.8001564333202971
0,0,0.22130792550887848,0.7786920744911215
0,1,0.7860536959775788,0.2139463040224212
0,0,0.1805781327302282,0.8194218672697717
1,1,0.7860536959775788,0.2139463040224212
1,0,0.19250847640062435,0.8074915235993756
0,1,0.7860536959775788,0.2139463040224212
0,0,0.4497579580460612,0.5502420419539388
0,0,0.3331160365058671,0.6668839634941329
1,0,0.18735105407882668,0.8126489459211733
0,1,0.7860536959775788,0.2139463040224212
0,0,0.19744976816074206,0.8025502318392579
1,1,0.7860536959775788,0.2139463040224212
1,1,0.7860536959775788,0.2139463040224212
0,0,0.17632850241545886,0.8236714975845412
0,0,0.19250847640062435,0.8074915235993756
0,1,0.7860536959775788,0.2139463040224212
0,0,0.19744976816074206,0.8025502318392579
0,0,0.23460694791613532,0.7653930520838647
0,0,0.16202933016250506,0.8379706698374949
1,0,0.19984356667970277,0.8001564333202973
1,0,0.2725333333333332,0.7274666666666668
1,1,0.7860536959775788,0.2139463040224212
0,0,0.16202933016250506,0.8379706698374949
0,1,0.7860536959775788,0.2139463040224212
0,0,0.1805781327302282,0.8194218672697717
0,0,0.2629682997118157,0.7370317002881843
1,1,0.7860536959775788,0.2139463040224212
0,0,0.24981667074065025,0.7501833292593497
1,1,0.7860536959775788,0.2139463040224212
0,0,0.214121097842028,0.785878902157972
1,1,0.7860536959775788,0.2139463040224212
1,1,0.7860536959775788,0.2139463040224212
0,1,0.7860536959775788,0.2139463040224212
1,0,0.4465667915106116,0.5534332084893884
0,0,0.17632850241545886,0.8236714975845412
0,0,0.19744976816074206,0.8025502318392579
0,0,0.19744976816074206,0.8025502318392579
1,0,0.18735105407882668,0.8126489459211733
1,1,0.7860536959775788,0.2139463040224212
0,0,0.214121097842028,0.785878902157972
0,0,0.24981667074065025,0.7501833292593497
0,1,0.7860536959775788,0.2139463040224212
1,0,0.19744976816074206,0.8025502318392579
1,1,0.7860536959775788,0.2139463040224212
0,1,0.7860536959775788,0.2139463040224212
0,0,0.19984356667970288,0.8001564333202971
1,0,0.214121097842028,0.785878902157972
0,1,0.7860536959775788,0.2139463040224212
1,1,0.7860536959775788,0.2139463040224212
